Country,Year,Phase,Trials
USA,2010,Phase 1,18
USA,2010,Phase 2,16
USA,2010,Phase 3,9
USA,2010,Phase 4,22
USA,2011,Phase 1,14
USA,2011,Phase 2,3
USA,2011,Phase 3,11
USA,2011,Phase 4,9
USA,2012,Phase 1,9
USA,2012,Phase 2,11
USA,2012,Phase 3,19
USA,2012,Phase 4,18
USA,2013,Phase 1,14
USA,2013,Phase 2,7
USA,2013,Phase 3,12
USA,2013,Phase 4,9
USA,2014,Phase 1,7
USA,2014,Phase 2,9
USA,2014,Phase 3,11
USA,2014,Phase 4,12
USA,2015,Phase 1,14
USA,2015,Phase 2,10
USA,2015,Phase 3,5
USA,2015,Phase 4,15
USA,2016,Phase 1,11
USA,2016,Phase 2,5
USA,2016,Phase 3,16
USA,2016,Phase 4,18
USA,2017,Phase 1,5
USA,2017,Phase 2,11
USA,2017,Phase 3,17
USA,2017,Phase 4,6
USA,2018,Phase 1,18
USA,2018,Phase 2,10
USA,2018,Phase 3,12
USA,2018,Phase 4,16
USA,2019,Phase 1,15
USA,2019,Phase 2,16
USA,2019,Phase 3,9
USA,2019,Phase 4,11
USA,2020,Phase 1,5
USA,2020,Phase 2,22
USA,2020,Phase 3,18
USA,2020,Phase 4,19
UK,2010,Phase 1,10
UK,2010,Phase 2,5
UK,2010,Phase 3,15
UK,2010,Phase 4,22
UK,2011,Phase 1,7
UK,2011,Phase 2,13
UK,2011,Phase 3,4
UK,2011,Phase 4,10
UK,2012,Phase 1,6
UK,2012,Phase 2,16
UK,2012,Phase 3,12
UK,2012,Phase 4,6
UK,2013,Phase 1,8
UK,2013,Phase 2,7
UK,2013,Phase 3,18
UK,2013,Phase 4,6
UK,2014,Phase 1,6
UK,2014,Phase 2,14
UK,2014,Phase 3,1
UK,2014,Phase 4,18
UK,2015,Phase 1,15
UK,2015,Phase 2,9
UK,2015,Phase 3,11
UK,2015,Phase 4,15
UK,2016,Phase 1,6
UK,2016,Phase 2,22
UK,2016,Phase 3,16
UK,2016,Phase 4,22
UK,2017,Phase 1,9
UK,2017,Phase 2,19
UK,2017,Phase 3,21
UK,2017,Phase 4,16
UK,2018,Phase 1,13
UK,2018,Phase 2,18
UK,2018,Phase 3,9
UK,2018,Phase 4,15
UK,2019,Phase 1,6
UK,2019,Phase 2,10
UK,2019,Phase 3,3
UK,2019,Phase 4,6
UK,2020,Phase 1,7
UK,2020,Phase 2,14
UK,2020,Phase 3,5
UK,2020,Phase 4,8
Spain,2010,Phase 1,12
Spain,2010,Phase 2,6
Spain,2010,Phase 3,12
Spain,2010,Phase 4,5
Spain,2011,Phase 1,16
Spain,2011,Phase 2,9
Spain,2011,Phase 3,9
Spain,2011,Phase 4,8
Spain,2012,Phase 1,11
Spain,2012,Phase 2,12
Spain,2012,Phase 3,20
Spain,2012,Phase 4,8
Spain,2013,Phase 1,13
Spain,2013,Phase 2,8
Spain,2013,Phase 3,7
Spain,2013,Phase 4,9
Spain,2014,Phase 1,15
Spain,2014,Phase 2,4
Spain,2014,Phase 3,10
Spain,2014,Phase 4,8
Spain,2015,Phase 1,17
Spain,2015,Phase 2,17
Spain,2015,Phase 3,20
Spain,2015,Phase 4,5
Spain,2016,Phase 1,9
Spain,2016,Phase 2,13
Spain,2016,Phase 3,8
Spain,2016,Phase 4,15
Spain,2017,Phase 1,10
Spain,2017,Phase 2,5
Spain,2017,Phase 3,8
Spain,2017,Phase 4,6
Spain,2018,Phase 1,7
Spain,2018,Phase 2,7
Spain,2018,Phase 3,18
Spain,2018,Phase 4,10
Spain,2019,Phase 1,19
Spain,2019,Phase 2,5
Spain,2019,Phase 3,14
Spain,2019,Phase 4,8
Spain,2020,Phase 1,8
Spain,2020,Phase 2,17
Spain,2020,Phase 3,11
Spain,2020,Phase 4,18
Germany,2010,Phase 1,17
Germany,2010,Phase 2,14
Germany,2010,Phase 3,11
Germany,2010,Phase 4,17
Germany,2011,Phase 1,16
Germany,2011,Phase 2,22
Germany,2011,Phase 3,7
Germany,2011,Phase 4,10
Germany,2012,Phase 1,7
Germany,2012,Phase 2,4
Germany,2012,Phase 3,17
Germany,2012,Phase 4,14
Germany,2013,Phase 1,18
Germany,2013,Phase 2,7
Germany,2013,Phase 3,3
Germany,2013,Phase 4,17
Germany,2014,Phase 1,13
Germany,2014,Phase 2,7
Germany,2014,Phase 3,3
Germany,2014,Phase 4,17
Germany,2015,Phase 1,4
Germany,2015,Phase 2,14
Germany,2015,Phase 3,14
Germany,2015,Phase 4,12
Germany,2016,Phase 1,11
Germany,2016,Phase 2,23
Germany,2016,Phase 3,6
Germany,2016,Phase 4,8
Germany,2017,Phase 1,20
Germany,2017,Phase 2,4
Germany,2017,Phase 3,7
Germany,2017,Phase 4,6
Germany,2018,Phase 1,14
Germany,2018,Phase 2,17
Germany,2018,Phase 3,7
Germany,2018,Phase 4,10
Germany,2019,Phase 1,19
Germany,2019,Phase 2,6
Germany,2019,Phase 3,13
Germany,2019,Phase 4,12
Germany,2020,Phase 1,8
Germany,2020,Phase 2,8
Germany,2020,Phase 3,7
Germany,2020,Phase 4,7
France,2010,Phase 1,13
France,2010,Phase 2,16
France,2010,Phase 3,10
France,2010,Phase 4,11
France,2011,Phase 1,20
France,2011,Phase 2,13
France,2011,Phase 3,17
France,2011,Phase 4,1
France,2012,Phase 1,18
France,2012,Phase 2,7
France,2012,Phase 3,17
France,2012,Phase 4,11
France,2013,Phase 1,22
France,2013,Phase 2,17
France,2013,Phase 3,12
France,2013,Phase 4,20
France,2014,Phase 1,16
France,2014,Phase 2,15
France,2014,Phase 3,11
France,2014,Phase 4,12
France,2015,Phase 1,6
France,2015,Phase 2,7
France,2015,Phase 3,7
France,2015,Phase 4,12
France,2016,Phase 1,18
France,2016,Phase 2,7
France,2016,Phase 3,6
France,2016,Phase 4,25
France,2017,Phase 1,18
France,2017,Phase 2,21
France,2017,Phase 3,13
France,2017,Phase 4,20
France,2018,Phase 1,5
France,2018,Phase 2,11
France,2018,Phase 3,7
France,2018,Phase 4,22
France,2019,Phase 1,9
France,2019,Phase 2,13
France,2019,Phase 3,16
France,2019,Phase 4,18
France,2020,Phase 1,6
France,2020,Phase 2,17
France,2020,Phase 3,6
France,2020,Phase 4,20
Italy,2010,Phase 1,7
Italy,2010,Phase 2,11
Italy,2010,Phase 3,19
Italy,2010,Phase 4,7
Italy,2011,Phase 1,11
Italy,2011,Phase 2,20
Italy,2011,Phase 3,17
Italy,2011,Phase 4,5
Italy,2012,Phase 1,18
Italy,2012,Phase 2,16
Italy,2012,Phase 3,8
Italy,2012,Phase 4,16
Italy,2013,Phase 1,9
Italy,2013,Phase 2,14
Italy,2013,Phase 3,12
Italy,2013,Phase 4,19
Italy,2014,Phase 1,18
Italy,2014,Phase 2,8
Italy,2014,Phase 3,6
Italy,2014,Phase 4,2
Italy,2015,Phase 1,15
Italy,2015,Phase 2,7
Italy,2015,Phase 3,7
Italy,2015,Phase 4,19
Italy,2016,Phase 1,8
Italy,2016,Phase 2,13
Italy,2016,Phase 3,8
Italy,2016,Phase 4,8
Italy,2017,Phase 1,7
Italy,2017,Phase 2,17
Italy,2017,Phase 3,17
Italy,2017,Phase 4,8
Italy,2018,Phase 1,18
Italy,2018,Phase 2,16
Italy,2018,Phase 3,12
Italy,2018,Phase 4,10
Italy,2019,Phase 1,8
Italy,2019,Phase 2,13
Italy,2019,Phase 3,11
Italy,2019,Phase 4,14
Italy,2020,Phase 1,3
Italy,2020,Phase 2,15
Italy,2020,Phase 3,16
Italy,2020,Phase 4,10
Canada,2010,Phase 1,10
Canada,2010,Phase 2,7
Canada,2010,Phase 3,17
Canada,2010,Phase 4,17
Canada,2011,Phase 1,7
Canada,2011,Phase 2,19
Canada,2011,Phase 3,13
Canada,2011,Phase 4,16
Canada,2012,Phase 1,10
Canada,2012,Phase 2,18
Canada,2012,Phase 3,3
Canada,2012,Phase 4,14
Canada,2013,Phase 1,15
Canada,2013,Phase 2,5
Canada,2013,Phase 3,23
Canada,2013,Phase 4,10
Canada,2014,Phase 1,10
Canada,2014,Phase 2,15
Canada,2014,Phase 3,14
Canada,2014,Phase 4,13
Canada,2015,Phase 1,15
Canada,2015,Phase 2,14
Canada,2015,Phase 3,20
Canada,2015,Phase 4,13
Canada,2016,Phase 1,11
Canada,2016,Phase 2,4
Canada,2016,Phase 3,13
Canada,2016,Phase 4,6
Canada,2017,Phase 1,8
Canada,2017,Phase 2,12
Canada,2017,Phase 3,3
Canada,2017,Phase 4,10
Canada,2018,Phase 1,8
Canada,2018,Phase 2,15
Canada,2018,Phase 3,9
Canada,2018,Phase 4,5
Canada,2019,Phase 1,9
Canada,2019,Phase 2,7
Canada,2019,Phase 3,18
Canada,2019,Phase 4,16
Canada,2020,Phase 1,19
Canada,2020,Phase 2,12
Canada,2020,Phase 3,8
Canada,2020,Phase 4,23
Australia,2010,Phase 1,6
Australia,2010,Phase 2,18
Australia,2010,Phase 3,16
Australia,2010,Phase 4,10
Australia,2011,Phase 1,7
Australia,2011,Phase 2,14
Australia,2011,Phase 3,4
Australia,2011,Phase 4,16
Australia,2012,Phase 1,5
Australia,2012,Phase 2,2
Australia,2012,Phase 3,15
Australia,2012,Phase 4,11
Australia,2013,Phase 1,21
Australia,2013,Phase 2,9
Australia,2013,Phase 3,14
Australia,2013,Phase 4,23
Australia,2014,Phase 1,16
Australia,2014,Phase 2,18
Australia,2014,Phase 3,9
Australia,2014,Phase 4,15
Australia,2015,Phase 1,6
Australia,2015,Phase 2,15
Australia,2015,Phase 3,8
Australia,2015,Phase 4,17
Australia,2016,Phase 1,18
Australia,2016,Phase 2,20
Australia,2016,Phase 3,7
Australia,2016,Phase 4,23
Australia,2017,Phase 1,11
Australia,2017,Phase 2,10
Australia,2017,Phase 3,16
Australia,2017,Phase 4,27
Australia,2018,Phase 1,3
Australia,2018,Phase 2,6
Australia,2018,Phase 3,18
Australia,2018,Phase 4,22
Australia,2019,Phase 1,13
Australia,2019,Phase 2,18
Australia,2019,Phase 3,14
Australia,2019,Phase 4,15
Australia,2020,Phase 1,16
Australia,2020,Phase 2,14
Australia,2020,Phase 3,19
Australia,2020,Phase 4,18
Brazil,2010,Phase 1,20
Brazil,2010,Phase 2,16
Brazil,2010,Phase 3,17
Brazil,2010,Phase 4,17
Brazil,2011,Phase 1,18
Brazil,2011,Phase 2,12
Brazil,2011,Phase 3,32
Brazil,2011,Phase 4,23
Brazil,2012,Phase 1,18
Brazil,2012,Phase 2,17
Brazil,2012,Phase 3,14
Brazil,2012,Phase 4,11
Brazil,2013,Phase 1,10
Brazil,2013,Phase 2,4
Brazil,2013,Phase 3,7
Brazil,2013,Phase 4,13
Brazil,2014,Phase 1,16
Brazil,2014,Phase 2,4
Brazil,2014,Phase 3,8
Brazil,2014,Phase 4,17
Brazil,2015,Phase 1,12
Brazil,2015,Phase 2,8
Brazil,2015,Phase 3,17
Brazil,2015,Phase 4,10
Brazil,2016,Phase 1,16
Brazil,2016,Phase 2,16
Brazil,2016,Phase 3,28
Brazil,2016,Phase 4,16
Brazil,2017,Phase 1,10
Brazil,2017,Phase 2,13
Brazil,2017,Phase 3,22
Brazil,2017,Phase 4,4
Brazil,2018,Phase 1,14
Brazil,2018,Phase 2,13
Brazil,2018,Phase 3,20
Brazil,2018,Phase 4,4
Brazil,2019,Phase 1,10
Brazil,2019,Phase 2,9
Brazil,2019,Phase 3,14
Brazil,2019,Phase 4,13
Brazil,2020,Phase 1,8
Brazil,2020,Phase 2,19
Brazil,2020,Phase 3,8
Brazil,2020,Phase 4,6
India,2010,Phase 1,17
India,2010,Phase 2,3
India,2010,Phase 3,15
India,2010,Phase 4,8
India,2011,Phase 1,9
India,2011,Phase 2,8
India,2011,Phase 3,13
India,2011,Phase 4,23
India,2012,Phase 1,7
India,2012,Phase 2,6
India,2012,Phase 3,7
India,2012,Phase 4,16
India,2013,Phase 1,13
India,2013,Phase 2,13
India,2013,Phase 3,9
India,2013,Phase 4,16
India,2014,Phase 1,11
India,2014,Phase 2,14
India,2014,Phase 3,14
India,2014,Phase 4,6
India,2015,Phase 1,11
India,2015,Phase 2,16
India,2015,Phase 3,13
India,2015,Phase 4,16
India,2016,Phase 1,12
India,2016,Phase 2,3
India,2016,Phase 3,19
India,2016,Phase 4,7
India,2017,Phase 1,15
India,2017,Phase 2,8
India,2017,Phase 3,17
India,2017,Phase 4,6
India,2018,Phase 1,16
India,2018,Phase 2,7
India,2018,Phase 3,18
India,2018,Phase 4,15
India,2019,Phase 1,8
India,2019,Phase 2,11
India,2019,Phase 3,14
India,2019,Phase 4,14
India,2020,Phase 1,26
India,2020,Phase 2,7
India,2020,Phase 3,14
India,2020,Phase 4,19
